description lddt
churro_9x25GB28GB_2_works_d7_2386_23.46_0.36_-2.00_100.28_42.27_240.12_28_cl2_hb_0002_hbfilt_min_designed_4_filt 0.9352660775184631
churro_9x25GB28GB_2_works_d7_2391_23.46_0.36_-2.00_100.28_45.35_107.88_28_cl2_hb_0009_hbfilt_min_designed_0_filt 0.9388538002967834
churro_9x25GB28GB_2_works_d7_2667_23.85_-3.07_-2.92_100.28_39.20_240.12_28_cl1_hb_0003_hbfilt_min_designed_0_filt 0.9229737520217896
churro_9x25GB28GB_2_works_d7_2667_23.85_-3.07_-2.92_100.28_39.20_240.12_28_cl1_hb_0003_hbfilt_min_designed_3_filt 0.9300732612609863
churro_9x25GB28GB_2_works_d7_2747_23.85_-3.07_-1.38_100.28_45.35_19.71_28_cl1_hb_0003_hbfilt_min_designed_4_filt 0.9218515157699585
churro_9x25GB28GB_2_works_d7_2755_23.85_-3.07_-1.23_100.28_42.27_19.71_28_cl1_hb_0008_hbfilt_min_designed_2_filt 0.9227094650268555
churro_9x25GB28GB_2_works_d7_2956_23.85_0.36_-1.85_100.28_42.27_107.88_28_cl1_hb_0011_hbfilt_min_designed_1_filt 0.9175457954406738
churro_9x25GB28GB_2_works_d7_2959_23.85_0.36_-1.85_100.28_45.35_196.04_28_cl1_hb_0003_hbfilt_min_designed_0_filt 0.9150117635726929
churro_9x25GB28GB_2_works_d7_2966_23.85_0.36_-1.69_100.28_42.27_107.88_28_cl2_hb_0009_hbfilt_min_designed_3_filt 0.9343051910400391
churro_9x25GB28GB_2_works_d7_2970_23.85_0.36_-1.69_100.28_45.35_63.80_28_cl1_hb_0009_hbfilt_min_designed_0_filt 0.9111760258674622
churro_9x25GB28GB_2_works_d7_2979_23.85_0.36_-1.54_100.28_45.35_63.80_28_cl1_hb_0019_hbfilt_min_designed_3_filt 0.9310207962989807
churro_9x25GB28GB_2_works_d7_3356_24.23_2.07_-2.62_100.28_48.43_107.88_28_cl1_hb_0008_hbfilt_min_designed_2_filt 0.9330823421478271
churro_9x25GB28GB_2_works_d7_3356_24.23_2.07_-2.62_100.28_48.43_107.88_28_cl2_hb_0001_hbfilt_min_designed_2_filt 0.932694673538208
churro_9x25GB28GB_2_works_d7_3382_24.23_2.07_-1.38_100.28_42.27_107.88_28_cl2_hb_0001_hbfilt_min_designed_3_filt 0.9316940903663635
